		d.getAttribute("href")}}})(document.querySelectorAll("link"));Element.prototype.addEventListener&&("function"==typeof window.onload&&(window.addEventListener("load",window.onload),window.onload=null),"function"==typeof document.onload&&(document.addEventListener.addEventListener("load",document.onload),document.onload=null))})();</script>
2019-12-20 00:17:36 INFO  RestAPITestinForEmployeeDB:78 - --------- validating content length
2019-12-20 00:17:36 INFO  RestAPITestinForEmployeeDB:70 - --------- checking content type ------------
2019-12-20 00:17:36 INFO  RestAPITestinForEmployeeDB:72 - Content Type :--->>>> text/html; charset=UTF-8
2019-12-20 00:17:36 INFO  RestAPITestinForEmployeeDB:53 - ------- Checking response body --------
2019-12-20 00:17:36 INFO  RestAPITestinForEmployeeDB:61 - -------- checking status line and status code -------
2019-12-20 00:17:43 INFO  RestAPITestinForEmployeeDB:59 - Response is :-->>> io.restassured.internal.RestAssuredResponseImpl@6f0628de
2019-12-20 00:17:43 INFO  RestAPITestinForEmployeeDB:65 - ------ validating response body --------
2019-12-20 00:17:43 INFO  RestAPITestinForEmployeeDB:73 - Response id, name,age & Salary :--->>> 212527, AgasthyaSDn, 50, 185175, 
2019-12-20 00:17:43 INFO  RestAPITestinForEmployeeDB:54 - --------- updating employee record ---------------
2019-12-20 00:17:52 INFO  RestAPITestinForEmployeeDB:68 - Response body is :--->>> 
{"name":"AgasthyaNRc","salary":"393570","age":"62"}
2019-12-20 00:17:52 INFO  RestAPITestinForEmployeeDB:90 - --------- validating content type ---------------
2019-12-20 00:17:52 INFO  RestAPITestinForEmployeeDB:93 - Content-Type is :--->> text/html; charset=UTF-8
2019-12-20 00:17:52 INFO  RestAPITestinForEmployeeDB:73 - --------- validating response body ---------------
2019-12-20 00:17:52 INFO  RestAPITestinForEmployeeDB:82 - Response name,age,salary & id is -->>>> AgasthyaNRc, 62, 393570, null
2019-12-20 00:17:52 INFO  RestAPITestinForEmployeeDB:110 - --------- validating server type --------
2019-12-20 00:17:52 INFO  RestAPITestinForEmployeeDB:101 - --------- validating Status line and status code ---------------
2019-12-20 00:17:52 INFO  RestAPITestinForEmployeeDB:35 - ------------ deleting employee record ----------------
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:39 - Response body is :----> 
{"success":{"text":"successfully! deleted Records"}}
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:56 - --------- validating content type ---------------
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:59 - Content-Type is :--->> text/html; charset=UTF-8
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:45 - --------- validating response body -------------
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:48 - Delete the employee record successfully
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:76 - --------- validating server type --------
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:67 - --------- validating Status line and status code ---------------
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:102 - ####-------- TC001_GetAllEmployees ends -------#####
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:86 - #####------- TC002_GetSingleEmployeeData ends ------#######
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:82 - ####--------- TC003_PostEmployeeRecord ends -------######
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:117 - #####---------- TC004_PutEmployeeData ends ----------######
2019-12-20 00:18:00 INFO  RestAPITestinForEmployeeDB:84 - --------- validating response body -------------
2019-12-20 00:18:01 INFO  RestAPITestinForEmployeeDB:90 - Deleted record of empID - '207516', not exists in Db
2019-12-20 00:18:01 INFO  RestAPITestinForEmployeeDB:94 - #####------------- TC005_DeleteEmployeeRecord ends ----------######
2019-12-20 00:19:26 INFO  RestAPITestinForEmployeeDB:41 - ####-------- TC001_GetAllEmployees starts -------#####
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:37 - #####-------- TC002_GetSingleEmployeeData starts --------######
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:31 - ####--------- TC003_PostEmployeeRecord starts -------######
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:40 - ####------- TC004_PutEmployeeData starts -----------#####
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:25 - #####------------- TC005_DeleteEmployeeRecord starts ----------######
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:85 - ------------ checking content type the header -----------
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:87 - Content Type :-->> text/html; charset=UTF-8
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:74 - ------------ Checking response time of the request------------
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:79 - Response time :---> 2200
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:93 - ----------- checking server type of the header ----------
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:95 - Server type :--->>> nginx/1.16.0
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:62 - ------------ checking status line and status code --------------
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:67 - Status Code :---> 200
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:68 - Status Line :---> HTTP/1.1 200 OK
2019-12-20 00:19:35 INFO  RestAPITestinForEmployeeDB:53 - ----------- Cheking response --------------
2019-12-20 00:19:36 INFO  RestAPITestinForEmployeeDB:46 - --------- getting response ----------
2019-12-20 00:19:37 INFO  RestAPITestinForEmployeeDB:48 - Response is :-->>> 
{"id":"207521","employee_name":"PiyTest637122577183651920","employee_salary":"1234","employee_age":"301","profile_image":""}
2019-12-20 00:19:37 INFO  RestAPITestinForEmployeeDB:78 - --------- validating content length
2019-12-20 00:19:37 INFO  RestAPITestinForEmployeeDB:70 - --------- checking content type ------------
2019-12-20 00:19:37 INFO  RestAPITestinForEmployeeDB:72 - Content Type :--->>>> text/html; charset=UTF-8
2019-12-20 00:19:37 INFO  RestAPITestinForEmployeeDB:53 - ------- Checking response body --------
2019-12-20 00:19:37 INFO  RestAPITestinForEmployeeDB:61 - -------- checking status line and status code -------
2019-12-20 00:19:44 INFO  RestAPITestinForEmployeeDB:59 - Response is :-->>> io.restassured.internal.RestAssuredResponseImpl@e72dba7
2019-12-20 00:19:44 INFO  RestAPITestinForEmployeeDB:65 - ------ validating response body --------
2019-12-20 00:19:44 INFO  RestAPITestinForEmployeeDB:73 - Response id, name,age & Salary :--->>> 212532, AgasthyaZGj, 39, 322540, 
2019-12-20 00:19:44 INFO  RestAPITestinForEmployeeDB:54 - --------- updating employee record ---------------
2019-12-20 00:19:51 INFO  RestAPITestinForEmployeeDB:68 - Response body is :--->>> 
{"name":"AgasthyabpA","salary":"516857","age":"19"}
2019-12-20 00:19:51 INFO  RestAPITestinForEmployeeDB:90 - --------- validating content type ---------------
2019-12-20 00:19:51 INFO  RestAPITestinForEmployeeDB:93 - Content-Type is :--->> text/html; charset=UTF-8
2019-12-20 00:19:51 INFO  RestAPITestinForEmployeeDB:73 - --------- validating response body ---------------
2019-12-20 00:19:51 INFO  RestAPITestinForEmployeeDB:82 - Response name,age,salary & id is -->>>> AgasthyabpA, 19, 516857, null
2019-12-20 00:19:51 INFO  RestAPITestinForEmployeeDB:110 - --------- validating server type --------
2019-12-20 00:19:51 INFO  RestAPITestinForEmployeeDB:101 - --------- validating Status line and status code ---------------
2019-12-20 00:19:51 INFO  RestAPITestinForEmployeeDB:35 - ------------ deleting employee record ----------------
